"","human_p_val","human_avg_logFC","human_pct.1","human_pct.2","human_p_val_adj","mouse_p_val","mouse_avg_logFC","mouse_pct.1","mouse_pct.2","mouse_p_val_adj","max_pval","minimump_p_val"
"BTG1",1.76507789084151e-135,0.264376282231886,0.821,0.673,2.38638530841772e-131,1.01028375661822e-12,0.42574786312918,0.752,0.521,1.36590363894784e-08,1.01028375661822e-12,3.53015578168308e-135
"HSPD1",7.09949375690725e-128,-0.326881522232425,0.897,0.929,9.59851555933861e-124,7.17841760831678e-06,-0.276250643573356,0.803,0.849,0.0970522060644428,7.17841760831678e-06,1.41989875138149e-127
"CD63",2.88442898633017e-119,0.325863402314924,0.865,0.804,3.89974798951839e-115,4.72705902303283e-11,0.488633770944734,0.818,0.602,6.39098379914038e-07,4.72705902303283e-11,5.76885797266032e-119
"LMAN1",4.21497640928278e-106,-0.263068195771947,0.333,0.579,5.69864810535031e-102,2.3043389741999e-06,-0.263671051345227,0.321,0.524,0.0311546629311827,2.3043389741999e-06,8.42995281856561e-106
"SOX4",1.04040025273313e-96,-0.359211612552701,0.659,0.842,1.40662114169519e-92,0.00145860673361987,-0.426668011464327,0.635,0.708,1,0.00145860673361987,2.08080050546623e-96
"DUSP1",5.97792056754745e-89,0.259227286061109,0.864,0.786,8.08214860732416e-85,2.56820898622865e-06,0.321475931726644,0.46,0.305,0.0347221854938113,2.56820898622865e-06,1.1955841135095e-88
"LYAR",1.82539775302246e-87,-0.303552828595291,0.329,0.515,2.46793776208637e-83,4.32027692052181e-06,-0.279931237390223,0.547,0.695,0.0584101439654549,4.32027692052181e-06,3.65079550604498e-87
"CEBPB",3.33698825256631e-72,0.256531396045705,0.373,0.238,4.51160811746965e-68,1.92127799157659e-28,0.57476060499361,0.672,0.302,2.59756784461155e-24,1.92127799157659e-28,6.67397650513259e-72
"IFITM3",1.0295480285393e-66,-0.363169306474643,0.207,0.374,1.39194893458513e-62,7.85040192874021e-09,0.301027990108913,0.949,0.895,0.000106137434076568,7.85040192874021e-09,2.05909605707859e-66
"G0S2",3.63753822014755e-64,-0.255594032811462,0.029,0.15,4.91795167363948e-60,2.60282399743715e-65,0.557785294714177,0.394,0.055,3.51901804453503e-61,3.63753822014755e-64,5.20564799487433e-65
"LTB",8.16527439901717e-12,-0.297602394818025,0.265,0.198,1.10394509874712e-07,4.81423153433259e-20,0.375496551814866,0.416,0.135,6.50884103441766e-16,8.16527439901717e-12,9.62846306866523e-20
"DNTT",2.92591764820434e-15,-0.765315300210048,0.316,0.378,3.95584066037227e-11,0.638089777070643,-0.49233532449989,0.146,0.156,1,0.638089777070643,5.85183529640869e-15
"MPO",2.11311004725496e-12,-1.0213230107923,0.514,0.575,2.85692478388871e-08,0.11515985892081,-0.398366530338947,0.73,0.783,1,0.11515985892081,4.22622009450545e-12
"BLVRB",2.32243973235407e-12,-0.753013710469931,0.717,0.653,3.1399385181427e-08,0.194556262874351,-0.37138417790848,0.526,0.535,1,0.194556262874351,4.64487946470273e-12
"ELANE",1.27413419516588e-10,-0.898511707272275,0.238,0.299,1.72262943186426e-06,0.25818665592567,-0.53094585275238,0.664,0.688,1,0.25818665592567,2.54826839016941e-10
"CTSG",0.0230161225822586,-0.264194952188902,0.18,0.195,1,0.107212163807273,-0.447136786232152,0.599,0.667,1,0.107212163807273,0.0455025032657956
